claim_id,patent_application_id,cited_document_id,text,text_b,label,_date,_row_id,_component_id,_supercomponent_id,_priority_component_id
96110_1,EP2869247A1,EP2196775,An integrated communication and application system for an aircraft the system comprising a portable electronic device detachably mounted to an aircraft cockpit holder communicatively connected to an aircraft computer system via an aircraft integration device the device being configured to read all aircraft data from the aircraft computer system while being unable to write any data back to the aircraft computer system and one or more applications executing on the portable electronic device wherein the one or more applications process the data received from the aircraft computer and display information based on data received from the aircraft computer.,Turning now to FIG.2 a functional block diagram of the exemplary EFB 100 described above is depicted installed in an aircraft.In the embodiment depicted in FIG.2 the EFB 100 is implemented as a Class 3 type EFB.As is generally known EFBs may be classified into one of three different classes Class 1 Class 2 or Class 3.Class 1 EFBs may be implemented using commercialofftheshelf COTS equipment such as a laptop or a handheld electronic device and are considered portable electronic devices PEDs.Class 1 EFBs are generally considered loose equipment are typically stowed during critical phases of flight may connect to aircraft power and may interface to other systems via certified docking stations andor power sources.Class 2 EFBs are also PEDs but are typically mounted in the aircraft cockpit using certified structural mounting devices or kneeboard devices.Class 2 EFBs are typically mounted in the aircraft with the display being viewable to the pilot during all phases of flight may connect to aircraft power and data sources and can be used for bidirectional data communication with other aircraft systems.Class 3 EFBs are considered installed equipment and are thus subject to various airworthiness requirements.,1,2015-05-06,pm_row_0012355,component_000678,supercomponent_001457,pc_8ea9d31e2a5b
120503_1,EP2868599A1,EP911293,A device for handling and emptying waste collection containers comprising a coupling head comprising a head structure 50 bearinga first holding member 10 suitable for being coupled to a handle 1 fixed on an outer surface of a container 3 for holding said container 3a second holding member 20 suitable for holding a gate operator element 2 arranged in the container 3 adjacent andor concentric to said handle 1 and mechanically linked to lower gates 4 of the container 3 for opening and closing same said second holding member 20 being installed in a moving carriage 51 movable along said head structure 50 andoperating means suitable for shifting said moving carriage 51 between gate closing and opening positions in which the gate operator element 2 of the container 3 held by said second holding member 20 performs the closure and allows the opening of said lower gates 4 of the container 3 respectively characterized in thatsaid first holding member 10 comprises one or more moving elements operated by a holding activation device 40 for moving between holding and release positions which determine the holding and the release of said handle 1said second holding member 20 comprises one or more moving elements operated by a holding activation device 40 for moving between holding and release positions which determine the holding and the release of said gate operator element 2 andthe head structure 50 integrates retaining elements 52 which contact with stops 21 of the one or more moving elements of the second holding member 20 preventing the movement thereof towards said release position being in said holding situation and said moving carriage 51 being in any position of travel except in a position in which the held gate operator 2 is in a standby situation.,For safe use it is very important in practice that lower grab 18 and upper grab 27 are always opened and closed simultaneously.,1,2015-05-06,pm_row_0012503,component_000675,supercomponent_000084,pc_57c89f906fcc
19275_0,EP2797249A1,EP1901470,Computer device or other hardware device programmed to perform the optimizing andor reconfiguring step of the method of any one of the previous claims.,Next according to step 615 the receiver determines whether a received DTU was corrupted.Various error checking schemes are well known in the art.According to step 620 for each corrupted DTU a retransmission request is transmitted that requests retransmission of an uncorrupted copy of the corrupted DTUor alternatively for each received DTU a positive or negative acknowledgement is transmitted that lets thetransmitter know which DTU needs to be retransmitted.The uncorrupted copy of the DTU is identified in the retransmission request by its corresponding retransmit container,0,2014-10-29,pm_row_0012509,component_000535,supercomponent_000813,pc_b0d42d29f0fb
19277_0,EP2797249A1,EP1901470,System for automatic reconfiguration of physical layer retransmission parameters associated with a line for enhanced impulse noise protection comprising a monitoring and obtaining module configured for monitoring line performance of the line and for obtaining at least one metric representative for impulse noise based on the monitored line performance an optimizing module configured for optimizing at least one physical layer retransmission parameter based on the at least one metric a reconfiguring module configured for reconfiguring the at least one physical layer retransmission parameter of the line.,In an alternate embodiment an acknowledgement may be expected for each validly transmitted DTU.If an acknowledgement is not received it may be assumed that the DTU was not validly received and may have been corrupted.In that case the transmitter may generate its own retransmission request.Again according to step 530 the retransmission request may identify the unacknowledged DTU by its corresponding retransmit container.In yet another embodiment both methods may be used together to enhance reliability that a corrupted DTU will be identified such that it may be retransmitted and to optimize the delay before which the retransmission takes place.,0,2014-10-29,pm_row_0014624,component_000535,supercomponent_000813,pc_b0d42d29f0fb
1909_0,EP2510891A1,EP2200145,Battery assembly 301 for use with a surgical device 300 having a battery terminal and operational parameters the battery assembly 301 comprising a housing having an exterior shape formed to removably connect with the battery terminal containing at least one modular battery operable to supply power to the surgical device 300 at the battery terminal having a control circuit comprising at least one microprocessor a memory and a realtime clock the control circuit being communicatively coupled to the at least one modular battery and operable to detect an identity of the surgical device 300 determine at least one piece of information pertaining to at least one of the operational parameters of the surgical device 300 based upon the detected identity record the at least one piece of information at least in the memory 5706 and selectively allow or prevent the at least one modular battery from supplying power to the surgical device 300 dependent upon the at least one piece of information.,In addition a conventional charger charges a battery pack by conversion of the commercial power source voltage into a DC voltage and by DC voltage reduction for isolation.For the conventional charger in combination with the battery pack duplicate protection is provided in which if the charger is failed when charging the battery pack then the battery pack itself stops the charging and if the battery pack is failed when being charged then the charger itself stops the charging.,0,2012-10-17,pm_row_0015554,component_000063,supercomponent_000801,pc_3096e181f8d0
19276_0,EP2797249A1,EP1901470,Data storage device encoding a program in machinereadable and machineexecutable form to perform the optimizing andor reconfiguring step of the method of any one of the previous claims.,The retransmission request will be processed at the corresponding transmitter and the receiver will then receive from the transmitter a retransmitted copy of the uncorrupted DTU according to step 625.As a final step 630 the corrupted DTU substituted with the uncorrupted DTU in the xDSL data stream.As described above a retransmission buffer is used for this purpose.,0,2014-10-29,pm_row_0018521,component_000535,supercomponent_000813,pc_b0d42d29f0fb
118694_0,EP3091724A1,EP2107734,Method according to one of claims 1 and 2 wherein said at least one reference bitrate comprises a first reference bitrate R1 representative of a maximum bitrate associated with most of the Digital Subscriber Lines of the group and a second reference bitrate R2 representative of a minimum bitrate associated with most of the Digital Subscriber Lines of the group.,If the ILQ is Green then the DSL is considered stable and the DLM function 110 keeps the current FRA profile.If the ILQ is Red a profile change is considered necessary.In the next step 3.3 performance information indicating the SNM variation is retrieved for the previous twenty four hours.In step 3.4 it is assessed whether the SNM variation exceeds a predetermined threshold which is chosen here to be a 4 dB variation.If this is not exceeded in step 3.5 a change in FRA profile is made by changing either or both of the interleaving index and target SNM.This step of selecting a new FRA profile is considered conventional and so a detailed description is not given here although reference is made to table 2 above and the explanatory comments which give an explanation as to how changes are made within the FRA profile range.,0,2016-11-09,pm_row_0000548,component_001117,supercomponent_000116,pc_b0d42d29f0fb
106873_0,EP3115317A1,EP2868599,A method for handling and emptying waste collection containers by means of a coupling head which integrates a head structure 41 and is attached to the distal end of a crane arm integrated in a waste collection vehicle said head structure 41 bearinga first holding member 10 having first movable elements 11 operated by means of first operating means 50 movable between a handle gripping position and a handle release position for being coupled to a mushroomshaped handle 1 fixed on an outer surface of a container 3 holding up said container 3 through said handle 1a second holding member 20 having second movable elements 21 operated by means of second operating means 51 movable between an operator release position and a position of interaction with the operator allowing said movable elements 21 to come into geometric interference with a gate operator 2 preventing its free movement being the first holding member 10 is attached to the handle 1 and the second holding members 20 are arranged in the position of interaction the gate operator 2 being arranged in the container in a position adjacent andor concentric to said handle 1 and being mechanically linked to the lower gates of the container for controlling their opening and closinga displacing mechanism 30 operated by means of third operating means 52 envisaged for axially moving said second holding member 20 with respect to said first holding member 10 between gate closing and gate opening positions by means of the resulting relative axial movement between the handle 1 and the gate operator 2 of the mentioned container 3 linked to the first and second holding members 10 and 20causing the closing andor opening of said lower gates of the container 3 mechanically linked to the gate operator 2 characterized in thatthe first second and third operating means 50 51 and 52 are controlled by means of a programmable control unit provided with at least a first and a second handling configuration which are adapted respectively for handling a container containing a gate operator of a first type 2a and for handling a container containing a gate operator of a second type 2b the first and second configurations differing at least in the predetermined handle gripping and release positions andor in the operator release and interaction positions andor in the gate opening and closing positions and in that the programmable control unit implementing the following stepsdetermining if the container to be handled integrates a gate operator of a first type 2a or a gate operator of the second type 2b based on the information obtained by means of sensors or by means of information entered by an operator through an interfaceapplying a first handling configuration if the container to be handled 3 integrates a gate operator of the first type 2a or a second handling configuration if the container to be handled 3 integrates a gate operator of the second type 2b by means of a programmable control unit wherein the first configuration and the second configuration modify one or more of the following positions the handle gripping and release positions andor the gate operator interaction and release positions andor the gate opening and closing positions.,Figure 7d shows how upon lifting the container 3 from the ground the handle 1 moves down until the lower surface of a perimetral flange 1a of the handle 1 contacts with the upper face 12 of the first holding member 10 and transmits the vertical load.As it performs this downward movement the first detector element 61 is shifted pushed by the elastic element 63 causing the first sensor 31 to no longer detect its presence.The correct lifting of the container is confirmed when only the second sensor 32 provides a positive reading.,0,2017-01-11,pm_row_0000653,component_001175,supercomponent_000044,pc_57c89f906fcc
118693_0,EP3091724A1,EP2107734,Method according to claim 1 wherein said performance indicator is a Mean Time Between Error determined in function of at least one of an amount of Code Violation of Errored Seconds and of Severly Errored Seconds.,According to a first aspect of the invention there is provided a method of operating an access network including a plurality of data connections between the access network and end user devices wherein the access network controls the rate at which data is transferred between the user devices and an onward connection wherein the method comprises for a given data connection a enabling data transfer at a variable data rate up to maximum rate b determining connection performance for the variable data rate based on errors detected for different data rates measuring the variation in signal to noise margin and in the event that the variation exceeds a predetermined level limiting the upper rate at which the connection can operate to one below the maximum rate said upper rate being selected in accordance with a data rate at which the connection was operated in a with a connection performance determined to be within acceptable limits.,0,2016-11-09,pm_row_0001051,component_001117,supercomponent_000116,pc_b0d42d29f0fb
127006_1,EP3091724A1,EP2806594,Control device 2 for determining the stability of a Digital Subscriber Line 5 comprisingmeans 6 7 P for obtaining at least one performance indicator representative of an issue rate on said Digital Subscriber Line andmeans 6 7 P for determining the stability of said Digital Subscriber Line by comparing said performance indicator with at least one thresholdwherein said control device comprises means 6 7 P for determining said at least one threshold comprisingmeans 6 7 P for obtaining data representative of the actual or attainable bitrates of a group of Digital Subscriber Lines said group including a plurality of Digital Subscriber Linesmeans 6 7 P for determining at least one reference bitrate in function of said actual or attainable bitrates andmeans 6 7 P for determining said at least one threshold in function of said reference bitrate.,In an embodiment the optimum weight vector wopt may be determined by minimizing the overlapping between the two distributions duMTBE and dsMTBE.The overlapping is a discriminant measure used in the exemplary embodiment described herein.Consequently the following optimization problem has to be solvedMTBEsshowtimew1CVw2ESw3SEStagged with satisfiedMTBEushowtimew1CVw2ESw3SEStagged with unsatisfied1MTBEw1CVw2ESw3SESshowtimelog1MTBElogw1CVshowtimew2ESshowtimew3SESshowtimelogMTBElogw1CVshowtimew2ESshowtimew3SESshowtimewoptargwmaxXXfsxdxXfuxdxwithxlogMTBEfxdistributionx,1,2016-11-09,pm_row_0002203,component_001117,supercomponent_000116,pc_b0d42d29f0fb
94539_0,EP3091724A1,EP2107734,Method according to one of claims 1 to 6 wherein determining S2 the stability of said Digital Subscriber Line comprise determining that the stability has one of a first value representative of a stable or good state a second value representative of a risky or intermediate state and a third value representative of an unstable or degraded state.,The upper rate may be selected from a plurality of predefined profiles each of which specifies a different upper rate to be applied to the connection the selected profile being the one having the closest upper rate to said highest rate at which the connection was operated with stability in step a.If the connection performance with the selected profile is also outside acceptable limits for a predetermined period the next profile having a lower upper rate is applied.The different profile may be selected and applied only if in addition to the connection profile being outside acceptable limits the variation in signal to noise margin is above the predetermined level.If the connection performance with the selected profile is within acceptable limits for a predetermined period the upper data rate at which the connection can operate may be increased the increased upper data rate being dependent on whether the variation in signal to noise margin exceeds the predeterminedlevel.If the variation in signal to noise margin exceeds the predetermined level a different one of the profiles having the next highest upper rate may be applied.If the variation in signal to noise margin does not exceed a predetermined level the upper data rate may be the maximum data rate for the connection.,0,2016-11-09,pm_row_0003540,component_001117,supercomponent_000116,pc_b0d42d29f0fb
127005_1,EP3091724A1,EP2797249,Computer program P comprising instructions for performing the method of one of claims 1 to 8 when said instructions are executed by a computer.,Preferably the system further comprises a controller for controlling the monitoring optimizing and reconfiguring module to repeat the monitoring optimizing and reconfiguring until the error metric is above a predefined threshold and the resynchronization parameter is above a predefined threshold.,1,2016-11-09,pm_row_0003587,component_001117,supercomponent_000116,pc_b0d42d29f0fb
94538_0,EP3091724A1,EP2107734,Method according to one of claims 3 and 4 wherein said at least one threshold s u comprises a first threshold s determined as the maximum of a threshold s proportional to said first reference bitrate and a first predeterminedvalue s and a second threshold u determined as the maximum of a threshold u proportional to said second reference bitrate and a second predetermined value u.,If the SNM variation does exceed the predetermined threshold a change in profile type is made from the FRA profile type to a capped profile type.To do this in step 3.6 the algorithm uses the stored performance data to calculate a socalled threshold rate for the previous seven days the threshold rate being the highest rate at which the DSL operated with consistently acceptable stability over said past seven days.On the basis that the DLM algorithm seeks to maximise the data rate by reducing the rate until the line is stable the threshold rate is sometimes referred to as the minimum line rate since this is in practice the lowest rate that the line operates at over the predetermined period.In step 3.7 the algorithm selects the capped profile having an upper capped rate closest to but below the threshold rate determined in step 3.6.So for example if the threshold rate was determined to be 8096 kbitssec then the 33286656 kbitssec capped profile is selected and applied with no interleaving fast mode and 6 dB target SNM.In this way based on the noise performance of the DSL for the previous seven days the DSL should remain stable provided the noise does not change significantly.The DSL is then operated within the banded rate range of the selected profile in a manner similar to that of the FRA profile in terms of changing between the noninterleaved and interleaved low or high depth index.Performance data continues to be received and stored from the DSLAM 20 for use in the next daily analysis stage.,0,2016-11-09,pm_row_0004992,component_001117,supercomponent_000116,pc_b0d42d29f0fb
126992_1,EP3091724A1,EP2806594,Method according to claim 3 wherein said first reference R1 bitrate is the Xpercentile of said actual or attainable bitrates with X50 andor wherein said second reference bitrate R2 is the Ypercentile of said actual or attainable bitrates with Y50.,As can be seen in Figure 3 when choosing the weights wopt as described above there is a big overlap between the two distributions duMTBE and dsMTBE.In particular both distribution duMTBE and dsMTBE include infinite values of MTBE no errors during the monitoring period.As a consequence the stability classes U R S cannot be assigned accurately enough to individual values of the stability metric MTBE.In order to allow for more reliable and accurate assignment of the stability classes U R S to the individual lines or values of MTBE the first feature extraction block 69 of the method 45 determines an optimum combination of physical line characteristics CV ES SES by appropriately determining the weight vector woptw1 w2 w3 so that the most suitable distinction between the stability classes can be carried out.,1,2016-11-09,pm_row_0006324,component_001117,supercomponent_000116,pc_b0d42d29f0fb
126986_1,EP3091724A1,EP2806594,Method for determining the stability of a Digital Subscriber Line 5 executed by a control device 2 comprisingobtaining S1 at least one performance indicator MTBE representative of an issue rate on said Digital Subscriber Line 5 anddetermining S2 the stability of said Digital Subscriber Line 5 by comparing said performance indicator with at least one threshold s uwherein said at least one threshold s u is determined byobtaining T1 data representative of the actual or attainable bitrates of a group of Digital Subscriber Lines 5 said group including a plurality of Digital Subscriber Lines 5determining T2 at least one reference bitrate R1 R2 in function of said actual or attainable bitrates anddetermining T3 T4 said at least one threshold s u in function of said reference bitrate R1 R2.,A result of step 53 consists in tagged data 57 including the physical line data 47 associated with the service quality information 49 and optionally with the operator data 51.In the shown embodiment the tagging 53 is implemented by physically adding the service quality information 49 and optionally the operator data 51 as a tag to the individual pieces of physical line data 47.However in other embodiments any other suitable technical means for associating the physical line data 47 the service quality information 49 and optionally the operator data 51 related to this same line 13 with each other can be used.For example the data 47 49 51 may be entered in a common database not shown and said associating may be implemented by relations andor references stored in the database.,1,2016-11-09,pm_row_0007000,component_001117,supercomponent_000116,pc_b0d42d29f0fb
118692_0,EP3091724A1,EP2107734,Method for determining the stability of a Digital Subscriber Line 5 executed by a control device 2 comprisingobtaining S1 at least one performance indicator MTBE representative of an issue rate on said Digital Subscriber Line 5 anddetermining S2 the stability of said Digital Subscriber Line 5 by comparing said performance indicator with at least one threshold s uwherein said at least one threshold s u is determined byobtaining T1 data representative of the actual or attainable bitrates of a group of Digital Subscriber Lines 5 said group including a plurality of Digital Subscriber Lines 5determining T2 at least one reference bitrate R1 R2 in function of said actual or attainable bitrates anddetermining T3 T4 said at least one threshold s u in function of said reference bitrate R1 R2.,Approximately twenty four hours later in the next step 3.8 the DLM function 110 again receives and analyses performance data based on said previous twenty four hours toassess the stability of the DSL using the previouslyselected capped profile.As before the ILQ is generated and categorised as either Green or Red.If Green then the DSL is considered stable for the previous days data and subsequent steps are employed to determine whether or not the profile can be changed to provide increased line rate without risking instability.As indicated above this is to ensure that the DSL is not operated at too conservative a line rate due to short to mediumterm noise variations previously measured.These steps will be described later on.,0,2016-11-09,pm_row_0007477,component_001117,supercomponent_000116,pc_b0d42d29f0fb
